,Day,Date,workoutActivityType,duration,durationUnit,distance,heartRateAverage,activeEnergyBurned,basalEnergyBurned,avg_pace_min,avg_pace_mmss
0,Thursday,2019-10-03,Cycling,22.69852885007858,min,5.52326,114.42066666666666,105.834,48.982,4.109625266614025,4:07
1,Friday,2019-10-04,Walking,31.92787481745084,min,2.5164,103.71362500000001,184.481,69.6507,12.687917190212541,12:41
2,Saturday,2019-10-05,Walking,33.05242548187574,min,2.76761,101.99539999999999,184.941,72.3965,11.942587821938691,11:57
3,Sunday,2019-10-06,Walking,8.179219818115234,min,0.62855,125.966,60.8969,17.6831,13.012838784687348,13:01
4,Sunday,2019-10-06,Walking,19.65910863280296,min,1.28886,129.558,118.049,42.8754,15.253098577660072,15:15
5,Thursday,2019-10-10,Walking,26.91192156672478,min,2.4247,128.03300000000002,185.097,58.9589,11.099072696302544,11:06
6,Saturday,2019-10-12,Cycling,44.75112748344739,min,12.3395,122.3695,359.359,98.2229,3.6266564677213333,3:38
7,Sunday,2019-10-13,Walking,14.89195388356845,min,1.26884,113.596,86.3762,32.5463,11.736668046064477,11:44
8,Monday,2019-10-14,Walking,29.76262098352114,min,2.4594,107.0395,172.14,65.2491,12.101578020460737,12:06
9,Wednesday,2019-11-27,Walking,23.89699924985568,min,1.86965,111.50766666666668,136.123,52.1859,12.781536250023095,12:47
10,Thursday,2019-11-28,Walking,23.02441561619441,min,1.88003,128.75666666666666,152.667,50.4426,12.246834154877533,12:15
11,Friday,2019-11-29,Walking,28.30555373430252,min,2.50393,126.37933333333335,206.485,61.9549,11.304450896911064,11:18
12,Saturday,2019-11-30,Walking,33.20462378263473,min,3.03837,116.78075,231.019,72.767,10.928433266071849,10:56
13,Monday,2019-12-02,Walking,24.68666086792946,min,2.21945,122.261,149.088,54.1055,11.122873174853886,11:07
14,Tuesday,2019-12-03,Walking,27.26686789989471,min,2.50766,117.266,191.148,59.72,10.873430967473546,10:52
15,Thursday,2019-12-05,Walking,26.10384135047595,min,2.4148,125.75,197.05,57.2841,10.809939270530043,10:49
16,Friday,2019-12-06,Walking,25.90424300034841,min,2.48284,127.35533333333335,208.121,56.7459,10.433311449931695,10:26
17,Saturday,2019-12-07,Walking,32.18962151606878,min,3.14163,123.07875,252.142,70.5204,10.246152957563043,10:15
18,Tuesday,2019-12-10,Walking,20.81145348350207,min,1.86054,109.03166666666665,134.502,45.5275,11.185706022714948,11:11
19,Wednesday,2019-12-11,Walking,33.59178498387337,min,3.17415,117.11666666666666,211.271,73.6796,10.582922982175816,10:35
20,Thursday,2019-12-12,Walking,25.68514119982719,min,2.54132,115.77266666666667,182.113,56.233,10.107007854118015,10:06
21,Thursday,2019-12-12,Walking,40.36394130190214,min,3.88533,118.2005,321.845,88.5537,10.388806433919934,10:23
22,Friday,2019-12-13,Walking,45.39616914987564,min,4.14532,114.0922,319.783,99.6573,10.951185710602713,10:57
